eo_number,document_number,title,president,signing_date,publication_date,citation,body_char_count,pdf_url,raw_text_url,summary,primary_topic,primary_topic_as_extracted,topic_other_reason,secondary_topics,instrument,instrument_other_reason,finish_reason
13004,96-13081,Establishing an Emergency Board To Investigate Disputes Between Certain Railroads Represented by the National Railway Labor Conference and Their- Employees Represented by Certain Labor Organizations,William J. Clinton,1996-05-17,1996-05-22,61 FR 25771,6773,https://www.govinfo.gov/content/pkg/FR-1996-05-22/pdf/96-13081.pdf,https://www.federalregister.gov/documents/full_text/text/1996/05/22/96-13081.txt,"Executive Order 13004 (May 17, 1996) creates an Emergency Board to investigate railway labor disputes, sets reporting and conduct requirements, assigns record‑keeping, and defines its termination.",labor_and_workforce,,,[],creates_body,,stop
13005,96-13306,Empowerment Contracting,William J. Clinton,1996-05-21,1996-05-24,61 FR 26069,7998,https://www.govinfo.gov/content/pkg/FR-1996-05-24/pdf/96-13306.pdf,https://www.federalregister.gov/documents/full_text/text/1996/05/24/96-13306.txt,"Executive Order 13005 directs the Secretary of Commerce to develop and implement an Empowerment Contracting Program that encourages the use of qualified businesses in economically distressed areas, requires monitoring, reporting, and rulemaking, and defines key terms.",government_administration,,,[],delegates_authority,,stop
13006,96-13305,Locating Federal Facilities on Historic Properties in Our Nation's Central Cities,William J. Clinton,1996-05-21,1996-05-24,61 FR 26071,5870,https://www.govinfo.gov/content/pkg/FR-1996-05-24/pdf/96-13305.pdf,https://www.federalregister.gov/documents/full_text/text/1996/05/24/96-13305.txt,"The order directs federal agencies to prioritize historic properties when locating facilities, and to remove regulatory barriers, thereby delegating authority to agencies to implement historic preservation goals.",energy_and_environment,,,[],delegates_authority,,stop
13007,96-13597,Indian Sacred Sites,William J. Clinton,1996-05-24,1996-05-29,61 FR 26771,5598,https://www.govinfo.gov/content/pkg/FR-1996-05-29/pdf/96-13597.pdf,https://www.federalregister.gov/documents/full_text/text/1996/05/29/96-13597.txt,Executive Order 13007 directs federal land‑managing agencies to protect Indian sacred sites and to report on implementation.,energy_and_environment,,,[],delegates_authority,,stop
13008,96-14372,Amending Executive Order No. 12880,William J. Clinton,1996-06-03,1996-06-05,61 FR 28721,979,https://www.govinfo.gov/content/pkg/FR-1996-06-05/pdf/96-14372.pdf,https://www.federalregister.gov/documents/full_text/text/1996/06/05/96-14372.txt,Amends EO 12880 to replace the “Department of State” with the “Office of National Drug Control Policy” in section 1(c).,justice_and_law_enforcement,,,[],revokes_or_amends,,stop
13009,96-15656,Amendment to Executive Order No. 12963 Entitled Presidential Advisory Council on HIV/AIDS,William J. Clinton,1996-06-14,1996-06-18,61 FR 30799,815,https://www.govinfo.gov/content/pkg/FR-1996-06-18/pdf/96-15656.pdf,https://www.federalregister.gov/documents/full_text/text/1996/06/18/96-15656.txt,Amends Executive Order 12963 to change the membership number of the Presidential Advisory Council on HIV/AIDS.,health,,,[],revokes_or_amends,,stop
13010,96-18351,Critical Infrastructure Protection,William J. Clinton,1996-07-15,1996-07-17,61 FR 37347,14817,https://www.govinfo.gov/content/pkg/FR-1996-07-17/pdf/96-18351.pdf,https://www.federalregister.gov/documents/full_text/text/1996/07/17/96-18351.txt,Executive Order 13010 establishes several bodies to protect critical infrastructure and sets reporting and termination deadlines.,energy_and_environment,,,[],creates_body,,stop
13011,96-18555,Federal Information Technology,William J. Clinton,1996-07-16,1996-07-19,61 FR 37657,25610,https://www.govinfo.gov/content/pkg/FR-1996-07-19/pdf/96-18555.pdf,https://www.federalregister.gov/documents/full_text/text/1996/07/19/96-18555.txt,Executive Order 13011 (1996‑07‑16) establishes three interagency bodies to improve federal information‑technology management.,technology_and_research,,,[],creates_body,,stop
13012,96-18846,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Their Employees Represented by the Brotherhood of Locomotive Engineers,William J. Clinton,1996-07-18,1996-07-23,61 FR 38051,2931,https://www.govinfo.gov/content/pkg/FR-1996-07-23/pdf/96-18846.pdf,https://www.federalregister.gov/documents/full_text/text/1996/07/23/96-18846.txt,Executive Order 13012 creates an emergency board to investigate a labor dispute involving the Southeastern Pennsylvania Transportation Authority and its employees.,labor_and_workforce,,,[],creates_body,,stop
13013,96-20531,"Amending Executive Order No. 10163, the Armed Forces Reserve Medal",William J. Clinton,1996-08-06,1996-08-09,61 FR 41483,4207,https://www.govinfo.gov/content/pkg/FR-1996-08-09/pdf/96-20531.pdf,https://www.federalregister.gov/documents/full_text/text/1996/08/09/96-20531.txt,Executive Order 13013 amends EO 10163 by striking out and replacing sections 3 and 4 that define eligibility for the Armed Forces Reserve Medal.,justice_and_law_enforcement,,,[],revokes_or_amends,,stop
13014,96-13014,Maintaining Unofficial Relations With the People on Taiwan,William J. Clinton,1996-08-15,1996-08-19,61 FR 42963,7466,https://www.govinfo.gov/content/pkg/FR-1996-08-19/pdf/96-13014.pdf,https://www.federalregister.gov/documents/full_text/text/1996/08/19/96-13014.txt,"The order delegates and reserves functions related to Taiwan‑U.S. unofficial relations, specifies laws that may be ignored for Institute contracts, and designates TECRO as the instrumentality for Taiwan. It also affirms continuation of earlier agreements and supersedes a prior executive order.",foreign_policy,,,[],delegates_authority,,stop
13015,96-21996,White House Commission on Aviation Safety and Security,William J. Clinton,1996-08-22,1996-08-27,61 FR 43937,3332,https://www.govinfo.gov/content/pkg/FR-1996-08-27/pdf/96-21996.pdf,https://www.federalregister.gov/documents/full_text/text/1996/08/27/96-21996.txt,The order creates the White House Commission on Aviation Safety and Security.,technology_and_research,,,[],creates_body,,stop
13016,96-22462,Amendment to Executive Order No. 12580,William J. Clinton,1996-08-28,1996-08-30,61 FR 45871,4958,https://www.govinfo.gov/content/pkg/FR-1996-08-30/pdf/96-22462.pdf,https://www.federalregister.gov/documents/full_text/text/1996/08/30/96-22462.txt,Executive Order 13016 amends Executive Order 12580 by adding new subsections to section 4 that delegate CERCLA response functions to several cabinet secretaries.,energy_and_environment,,,[],revokes_or_amends,,stop
13017,96-23187,Advisory Commission on Consumer Protection and Quality in the Health Care Industry,William J. Clinton,1996-09-05,1996-09-09,61 FR 47659,5274,https://www.govinfo.gov/content/pkg/FR-1996-09-09/pdf/96-23187.pdf,https://www.federalregister.gov/documents/full_text/text/1996/09/09/96-23187.txt,Executive Order 13017 establishes the Advisory Commission on Consumer Protection and Quality in the Health Care Industry to advise the President on health‑care system changes and to protect consumers and workers.,health,,,[],creates_body,,stop
13018,96-24048,Amending Executive Order No. 12975,William J. Clinton,1996-09-16,1996-09-18,61 FR 49045,689,https://www.govinfo.gov/content/pkg/FR-1996-09-18/pdf/96-24048.pdf,https://www.federalregister.gov/documents/full_text/text/1996/09/18/96-24048.txt,The order amends EO 12975 by changing the membership count of the National Bioethics Advisory Commission from 15 to 18.,technology_and_research,,,[],revokes_or_amends,,stop
13019,96-25577,Supporting Families: Collecting Delinquent Child Support Obligations,William J. Clinton,1996-09-28,1996-10-03,61 FR 51763,11385,https://www.govinfo.gov/content/pkg/FR-1996-10-03/pdf/96-25577.pdf,https://www.federalregister.gov/documents/full_text/text/1996/10/03/96-25577.txt,Executive Order 13019 directs federal agencies to use administrative offsets to collect delinquent child‑support debts and to deny certain federal assistance to individuals who owe child support.,civil_rights,,,[],delegates_authority,,stop
13020,96-26837,Amendment to Executive Order 12981,William J. Clinton,1996-10-12,1996-10-17,61 FR 54079,6076,https://www.govinfo.gov/content/pkg/FR-1996-10-17/pdf/96-26837.pdf,https://www.federalregister.gov/documents/full_text/text/1996/10/17/96-26837.txt,Executive Order 13020 amends EO 12981 to modify licensing procedures for the export of commercial communication satellites and hot‑section aircraft‑engine technologies.,technology_and_research,,,[],revokes_or_amends,,stop
13021,96-27352,Tribal Colleges and Universities,William J. Clinton,1996-10-19,1996-10-23,61 FR 54929,14269,https://www.govinfo.gov/content/pkg/FR-1996-10-23/pdf/96-27352.pdf,https://www.federalregister.gov/documents/full_text/text/1996/10/23/96-27352.txt,"Executive Order 13021 creates two new advisory bodies, directs federal agencies to plan and report on tribal‑college support, and sets compensation, meeting, and termination rules for the Board.",education,,,[],creates_body,,stop
13022,96-28509,Administration of the Midway Islands,William J. Clinton,1996-10-31,1996-11-04,61 FR 56875,4651,https://www.govinfo.gov/content/pkg/FR-1996-11-04/pdf/96-28509.pdf,https://www.federalregister.gov/documents/full_text/text/1996/11/04/96-28509.txt,"Executive Order 13022 transfers jurisdiction over the Midway Islands to the Department of the Interior, dissolves the naval defensive sea area and airspace reservation, and delegates administration of the islands as a National Wildlife Refuge to the Secretary of the Interior.",energy_and_environment,,,[],delegates_authority,,stop
13023,96-28938,"Amendments to Executive Order 12992, Expanding and Changing the Name of the President's Council on Counter-Narcotics",William J. Clinton,1996-11-06,1996-11-08,61 FR 57767,3322,https://www.govinfo.gov/content/pkg/FR-1996-11-08/pdf/96-28938.pdf,https://www.federalregister.gov/documents/full_text/text/1996/11/08/96-28938.txt,Executive Order 13023 amends Executive Order 12992 by changing the name of the President’s Council on Counter‑Narcotics to the President’s Drug Policy Council and by revising the Council’s membership to add additional secretaries and officials as permanent members.,justice_and_law_enforcement,,,[],revokes_or_amends,,stop
13024,96-29109,"Amending Executive Order 12015, Relating to Competitive Appointments of Students Who Have Completed Approved Career-Related Work Study Programs",William J. Clinton,1996-11-07,1996-11-12,61 FR 58125,1372,https://www.govinfo.gov/content/pkg/FR-1996-11-12/pdf/96-29109.pdf,https://www.federalregister.gov/documents/full_text/text/1996/11/12/96-29109.txt,"Executive Order 13024 amends Executive Order 12015, changing language in section 2, redesignating section 4 as section 5, and inserting a new section 4.",government_administration,,,[],revokes_or_amends,,stop
13025,96-29597,"Amendment to Executive Order 13010, the President's Commission on Critical Infrastructure Protection",William J. Clinton,1996-11-13,1996-11-18,61 FR 58623,1546,https://www.govinfo.gov/content/pkg/FR-1996-11-18/pdf/96-29597.pdf,https://www.federalregister.gov/documents/full_text/text/1996/11/18/96-29597.txt,"Executive Order 13025 amends specific provisions of Executive Order 13010, the President’s Commission on Critical Infrastructure Protection.",technology_and_research,,,[],revokes_or_amends,,stop
13026,96-29692,Administration of Export Controls on Encryption Products,William J. Clinton,1996-11-15,1996-11-19,61 FR 58767,8570,https://www.govinfo.gov/content/pkg/FR-1996-11-19/pdf/96-29692.pdf,https://www.federalregister.gov/documents/full_text/text/1996/11/19/96-29692.txt,"Executive Order 13026 establishes new export‑control procedures for encryption products, creates review bodies, and sets policy directives for the Secretary of Commerce.",technology_and_research,,,[],creates_body,,stop
13027,96-29815,Establishing an Emergency Board To Investigate a Dispute Between the Southeastern Pennsylvania Transportation Authority and Its Employees Represented by the Brotherhood of Locomotive Engineers,William J. Clinton,1996-11-15,1996-11-20,61 FR 58971,3286,https://www.govinfo.gov/content/pkg/FR-1996-11-20/pdf/96-29815.pdf,https://www.federalregister.gov/documents/full_text/text/1996/11/20/96-29815.txt,The order creates an emergency board to investigate a labor dispute involving the Southeastern Pennsylvania Transportation Authority and its employees.,labor_and_workforce,,,[],creates_body,,stop
13028,96-31164,Further Amendments to Executive Order No. 12757 Implementation of the Enterprise for the Americas Initiative,William J. Clinton,1996-12-03,1996-12-05,61 FR 64589,3299,https://www.govinfo.gov/content/pkg/FR-1996-12-05/pdf/96-31164.pdf,https://www.federalregister.gov/documents/full_text/text/1996/12/05/96-31164.txt,"The order amends Executive Order 12757, which implements the Enterprise for the Americas Initiative.",foreign_policy,,,[],revokes_or_amends,,stop
13029,96-31165,"Implementing, for the United States, the Provisions of An- nex 1 of the Decision Concerning Legal Capacity and Privileges and Immunities, Issued by the Council of Ministers of the Conference on Security and Cooperation in Europe on December 1, 1993",William J. Clinton,1996-12-03,1996-12-05,61 FR 64592,2034,https://www.govinfo.gov/content/pkg/FR-1996-12-05/pdf/96-31165.pdf,https://www.federalregister.gov/documents/full_text/text/1996/12/05/96-31165.txt,"Executive Order 13029 implements Annex 1 of the 1993 CSCE decision on legal capacity and privileges, extending those privileges and immunities to the personnel and institutions identified in the annex, and renames the Conference on Security and Cooperation in Europe to the Organization for Security and Cooperation in Europe effective 1 January 1995.",foreign_policy,,,[],other,extends privileges and immunities to personnel of an international organization,stop
13030,96-32128,Administration of Foreign Assistance and Related Functions and Arms Export Controls,William J. Clinton,1996-12-12,1996-12-17,61 FR 66187,2361,https://www.govinfo.gov/content/pkg/FR-1996-12-17/pdf/96-32128.pdf,https://www.federalregister.gov/documents/full_text/text/1996/12/17/96-32128.txt,Executive Order 13030 amends three earlier executive orders that govern foreign assistance and arms export controls.,foreign_policy,,,[],revokes_or_amends,,stop
13031,96-32195,Federal Alternative Fueled Vehicle Leadership,William J. Clinton,1996-12-13,1996-12-17,61 FR 66529,12221,https://www.govinfo.gov/content/pkg/FR-1996-12-17/pdf/96-32195.pdf,https://www.federalregister.gov/documents/full_text/text/1996/12/17/96-32195.txt,"Executive Order 13031 establishes federal leadership on alternative‑fueled vehicles by delegating authority to agencies and officials to set acquisition targets, report compliance, and provide funding assistance.",energy_and_environment,,,[],delegates_authority,,stop
13032,96-33336,Further Amendment to Executive Order No. 12964,William J. Clinton,1996-12-26,1996-12-30,61 FR 68985,948,https://www.govinfo.gov/content/pkg/FR-1996-12-30/pdf/96-33336.pdf,https://www.federalregister.gov/documents/full_text/text/1996/12/30/96-33336.txt,"Executive Order 13032 amends Executive Order 12964 to change a reporting date, doing so to aid the Commission on United States‑Pacific Trade and Investment Policy.",trade,,,[],revokes_or_amends,,stop
13033,96-33384,"Executive Order 13033 of December 27, 1996",William J. Clinton,1996-12-27,1996-12-31,61 FR 68987,4267,https://www.govinfo.gov/content/pkg/FR-1996-12-31/pdf/96-33384.pdf,https://www.federalregister.gov/documents/full_text/text/1996/12/31/96-33384.txt,The order updates federal pay and allowance rates for various civil service and uniformed service pay systems.,government_administration,,,[],adjusts_pay_or_admin,,stop
13034,97-2818,Extension of Presidential Advisory Committee on Gulf War Veterans' Illnesses,William J. Clinton,1997-01-30,1997-02-03,62 FR 5137,3504,https://www.govinfo.gov/content/pkg/FR-1997-02-03/pdf/97-2818.pdf,https://www.federalregister.gov/documents/full_text/text/1997/02/03/97-2818.txt,"Executive Order 13034 extends the Presidential Advisory Committee on Gulf War Veterans’ Illnesses, amending the earlier order that created it and setting reporting deadlines.",health,,,[],revokes_or_amends,,stop
13035,97-3992,"Advisory Committee on High-Performance Computing and Communications, Information Technology, and the Next Generation Internet",William J. Clinton,1997-02-11,1997-02-14,62 FR 7131,4883,https://www.govinfo.gov/content/pkg/FR-1997-02-14/pdf/97-3992.pdf,https://www.federalregister.gov/documents/full_text/text/1997/02/14/97-3992.txt,"Executive Order 13035 establishes an advisory committee on high‑performance computing, communications, information technology, and the Next Generation Internet, and sets a termination deadline for the committee.",technology_and_research,,,[],creates_body,,stop
13036,97-4302,Establishing an Emergency Board To Investigate a Dispute Between American Airlines and its Employees Represented by the Allied Pilots Association,William J. Clinton,1997-02-15,1997-02-19,62 FR 7653,2904,https://www.govinfo.gov/content/pkg/FR-1997-02-19/pdf/97-4302.pdf,https://www.federalregister.gov/documents/full_text/text/1997/02/19/97-4302.txt,Executive Order 13036 (Feb 15 1997) creates an Emergency Board to investigate a labor dispute between American Airlines and its employees.,labor_and_workforce,,,[],creates_body,,stop
13037,97-5728,Commission To Study Capital Budgeting,William J. Clinton,1997-03-03,1997-03-06,62 FR 10185,4510,https://www.govinfo.gov/content/pkg/FR-1997-03-06/pdf/97-5728.pdf,https://www.federalregister.gov/documents/full_text/text/1997/03/06/97-5728.txt,The order creates a bipartisan commission to study capital budgeting and directs it to report and then terminate.,government_administration,,"The commission’s subject is capital budgeting, which falls under the administration of federal fiscal policy.",[],creates_body,,stop
13038,97-6571,Advisory Committee on Public Interest Obligations of Digital Television Broadcasters,William J. Clinton,1997-03-11,1997-03-13,62 FR 12065,4653,https://www.govinfo.gov/content/pkg/FR-1997-03-13/pdf/97-6571.pdf,https://www.federalregister.gov/documents/full_text/text/1997/03/13/97-6571.txt,Executive Order 13038 creates the Advisory Committee on the Public Interest Obligations of Digital Television Broadcasters and directs it to report to the Vice President by a specified date.,technology_and_research,,,[],creates_body,,stop
13039,97-6703,Exclusion of the Naval Special Warfare Development Group From the Federal Labor-Management Relations Program,William J. Clinton,1997-03-11,1997-03-14,62 FR 12529,1259,https://www.govinfo.gov/content/pkg/FR-1997-03-14/pdf/97-6703.pdf,https://www.federalregister.gov/documents/full_text/text/1997/03/14/97-6703.txt,The order amends Executive Order 12171 to exclude the Naval Special Warfare Development Group from the Federal Labor‑Management Relations Program.,government_administration,,,[],revokes_or_amends,,stop
13040,97-8123,"Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry",William J. Clinton,1997-03-25,1997-03-28,62 FR 14773,1455,https://www.govinfo.gov/content/pkg/FR-1997-03-28/pdf/97-8123.pdf,https://www.federalregister.gov/documents/full_text/text/1997/03/28/97-8123.txt,Amends Executive Order 13017 to change the membership number and to set new reporting deadlines for the Advisory Commission on Consumer Protection and Quality in the Health Care Industry.,health,,,[],revokes_or_amends,,stop
13041,97-9200,"Further Amendment to Executive Order 13010, as Amended",William J. Clinton,1997-04-03,1997-04-08,62 FR 17039,1360,https://www.govinfo.gov/content/pkg/FR-1997-04-08/pdf/97-9200.pdf,https://www.federalregister.gov/documents/full_text/text/1997/04/08/97-9200.txt,The order amends Executive Order 13010 to add two presidential assistants to the Principals Committee of the President’s Commission on Critical Infrastructure Protection and to extend the Commission’s life by 90 days.,security_and_defense,,,[],revokes_or_amends,,stop
13042,97-9700,Implementing for the United States Article VIII of the Agreement Establishing the World Trade Organization Concerning Legal Capacity and Privileges and Immunities,William J. Clinton,1997-04-09,1997-04-14,62 FR 18017,4974,https://www.govinfo.gov/content/pkg/FR-1997-04-14/pdf/97-9700.pdf,https://www.federalregister.gov/documents/full_text/text/1997/04/14/97-9700.txt,The order designates the World Trade Organization as a public international organization entitled to privileges under the International Organizations Immunities Act and gives the Secretary of State sole discretion to determine whether WTO‑owned property is used for WTO purposes.,foreign_policy,,,[],delegates_authority,,stop
13043,97-10331,Increasing Seat Belt Use in the United States,William J. Clinton,1997-04-16,1997-04-18,62 FR 19217,8387,https://www.govinfo.gov/content/pkg/FR-1997-04-18/pdf/97-10331.pdf,https://www.federalregister.gov/documents/full_text/text/1997/04/18/97-10331.txt,"Executive Order 13043 establishes federal‑wide seat‑belt safety policies, directs agencies to issue rules, requires an annual report, and revokes a prior order.",technology_and_research,,,"[""government_administration""]",other,the order contains several distinct actions; each is recorded as a separate fact below,stop
13044,97-10605,"Amending Executive Order 12752, Implementation of the Agricultural Trade Development and Assistance Act of 1954, as Amended, and the Food for Progress Act of 1985, as Amended",William J. Clinton,1997-04-18,1997-04-22,62 FR 19665,1326,https://www.govinfo.gov/content/pkg/FR-1997-04-22/pdf/97-10605.pdf,https://www.federalregister.gov/documents/full_text/text/1997/04/22/97-10605.txt,"Amends Executive Order 12752 by deleting “developing countries” and inserting “developing countries and private entities,” deleting sections 4(a) and (c), and renumbering sections 4(b)‑(g).",economy_and_finance,,,[],revokes_or_amends,,stop
13045,97-10695,Protection of Children From Environmental Health Risks and Safety Risks,William J. Clinton,1997-04-21,1997-04-23,62 FR 19885,14785,https://www.govinfo.gov/content/pkg/FR-1997-04-23/pdf/97-10695.pdf,https://www.federalregister.gov/documents/full_text/text/1997/04/23/97-10695.txt,"Executive Order 13045 (1997‑04‑21) establishes a federal Task Force on environmental health and safety risks to children, revokes an earlier order, and directs several reporting and planning activities.",energy_and_environment,,,[],creates_body,,stop
13046,97-13450,"Further Amendment to Executive Order 12975 of May 16, 1997, Extension of the National Bioethics Advisory Commission",William J. Clinton,1997-05-16,1997-05-20,62 FR 27685,824,https://www.govinfo.gov/content/pkg/FR-1997-05-20/pdf/97-13450.pdf,https://www.federalregister.gov/documents/full_text/text/1997/05/20/97-13450.txt,The order amends EO 12975 to set a termination date for the National Bioethics Advisory Commission.,health,,,[],revokes_or_amends,,stop
13047,97-13704,Prohibiting New Investment in Burma,William J. Clinton,1997-05-20,1997-05-22,62 FR 28301,8094,https://www.govinfo.gov/content/pkg/FR-1997-05-22/pdf/97-13704.pdf,https://www.federalregister.gov/documents/full_text/text/1997/05/22/97-13704.txt,"Executive Order 13047 prohibits new investment in Burma by United States persons and related transactions, thereby imposing sanctions.",foreign_policy,,,[],imposes_sanctions,,stop
13048,97-15828,Improving Administrative Management in the Executive Branch,William J. Clinton,1997-06-10,1997-06-13,62 FR 32467,7423,https://www.govinfo.gov/content/pkg/FR-1997-06-13/pdf/97-15828.pdf,https://www.federalregister.gov/documents/full_text/text/1997/06/13/97-15828.txt,"Executive Order 13048 (1997) creates an Interagency Council on Administrative Management to improve agency administrative and management practices, defines its composition and duties, limits at‑large member terms, states that the order creates no enforceable rights, and revokes three prior orders.",government_administration,,,[],creates_body,,stop
13049,97-15879,Organization for the Prohibition of Chemical Weapons,William J. Clinton,1997-06-11,1997-06-16,62 FR 32471,1441,https://www.govinfo.gov/content/pkg/FR-1997-06-16/pdf/97-15879.pdf,https://www.federalregister.gov/documents/full_text/text/1997/06/16/97-15879.txt,"The order designates the Organization for the Prohibition of Chemical Weapons as a public international organization entitled to the privileges, exemptions, and immunities provided by the International Organizations Immunities Act.",foreign_policy,,,[],delegates_authority,,stop
13050,97-16080,President's Advisory Board on Race,William J. Clinton,1997-06-13,1997-06-17,62 FR 32987,4627,https://www.govinfo.gov/content/pkg/FR-1997-06-17/pdf/97-16080.pdf,https://www.federalregister.gov/documents/full_text/text/1997/06/17/97-16080.txt,Executive Order 13050 establishes the President’s Advisory Board on Race.,civil_rights,,,[],creates_body,,stop
13051,97-16957,Internal Revenue Service Management Board,William J. Clinton,1997-06-24,1997-06-26,62 FR 34609,6278,https://www.govinfo.gov/content/pkg/FR-1997-06-26/pdf/97-16957.pdf,https://www.federalregister.gov/documents/full_text/text/1997/06/26/97-16957.txt,Executive Order 13051 establishes a permanent oversight board for the Internal Revenue Service within the Treasury Department.,government_administration,,,[],creates_body,,stop
13052,97-17512,Hong Kong Economic and Trade Offices,William J. Clinton,1997-06-30,1997-07-02,62 FR 35659,1287,https://www.govinfo.gov/content/pkg/FR-1997-07-02/pdf/97-17512.pdf,https://www.federalregister.gov/documents/full_text/text/1997/07/02/97-17512.txt,"Executive Order 13052 extends the privileges, exemptions, and immunities of the International Organizations Immunities Act to the Hong Kong Economic and Trade Offices.",foreign_policy,,,[],other,"extends privileges, exemptions, and immunities to a foreign office",stop
13053,97-17566,Adding Members to and Extending the President's Council on Sustainable Development,William J. Clinton,1997-06-30,1997-07-02,62 FR 35945,1117,https://www.govinfo.gov/content/pkg/FR-1997-07-02/pdf/97-17566.pdf,https://www.federalregister.gov/documents/full_text/text/1997/07/02/97-17566.txt,Executive Order 13053 amends Executive Order 12852 to change the composition and term of the President’s Council on Sustainable Development.,energy_and_environment,,,[],revokes_or_amends,,stop
13054,97-18288,Eligibility of Certain Overseas Employees for Noncompetitive Appointments,William J. Clinton,1997-07-07,1997-07-10,62 FR 36965,1972,https://www.govinfo.gov/content/pkg/FR-1997-07-10/pdf/97-18288.pdf,https://www.federalregister.gov/documents/full_text/text/1997/07/10/97-18288.txt,The order permits certain overseas employees (family members of federal civilian employees who worked for the American Institute in Taiwan) to be appointed non‑competitively and directs the Director of OPM to issue implementing regulations.,government_administration,,,[],delegates_authority,,stop
13055,97-19341,Coordination of United States Government International Exchanges and Training Programs,William J. Clinton,1997-07-15,1997-07-21,62 FR 39099,6235,https://www.govinfo.gov/content/pkg/FR-1997-07-21/pdf/97-19341.pdf,https://www.federalregister.gov/documents/full_text/text/1997/07/21/97-19341.txt,Executive Order 13055 establishes an interagency working group to coordinate U.S. government‑sponsored international exchanges and training programs.,government_administration,,"The order concerns coordination of international exchange and training programs, which falls under the broader category of government administration of programmatic activities.",[],creates_body,,stop
13056,97-19562,"Further Amendment to Executive Order 13017, Advisory Commission on Consumer Protection and Quality in the Health Care Industry",William J. Clinton,1997-07-21,1997-07-23,62 FR 39415,943,https://www.govinfo.gov/content/pkg/FR-1997-07-23/pdf/97-19562.pdf,https://www.federalregister.gov/documents/full_text/text/1997/07/23/97-19562.txt,Executive Order 13056 amends Executive Order 13017 to change the number of members on the Advisory Commission on Consumer Protection and Quality in the Health Care Industry.,health,,,[],revokes_or_amends,,stop
13057,97-20497,Federal Actions in the Lake Tahoe Region,William J. Clinton,1997-07-26,1997-08-01,62 FR 41249,7855,https://www.govinfo.gov/content/pkg/FR-1997-08-01/pdf/97-20497.pdf,https://www.federalregister.gov/documents/full_text/text/1997/08/01/97-20497.txt,"Executive Order 13057 establishes a federal interagency partnership for the Lake Tahoe ecosystem, assigns it specific coordination and negotiation duties, requires a 90‑day report to the President, and delegates advisory authority to its chair.",energy_and_environment,,,[],creates_body,,stop
13058,97-21607,Protecting Federal Employees and the Public From Exposure to Tobacco Smoke in the Federal Workplace,William J. Clinton,1997-08-09,1997-08-13,62 FR 43451,7159,https://www.govinfo.gov/content/pkg/FR-1997-08-13/pdf/97-21607.pdf,https://www.federalregister.gov/documents/full_text/text/1997/08/13/97-21607.txt,The order directs agency heads to implement a smoke‑free environment for federal employees and the public in federal facilities.,energy_and_environment,,,[],delegates_authority,,stop
13059,97-22482,Prohibiting Certain Transactions With Respect to Iran,William J. Clinton,1997-08-19,1997-08-21,62 FR 44531,13335,https://www.govinfo.gov/content/pkg/FR-1997-08-21/pdf/97-22482.pdf,https://www.federalregister.gov/documents/full_text/text/1997/08/21/97-22482.txt,"Executive Order 13059 prohibits a wide range of transactions with Iran, effectively imposing sanctions.",foreign_policy,,,[],imposes_sanctions,,stop
13060,97-22703,Establishing an Emergency Board To Investigate Disputes Between Amtrak and its Employees Represented by the Brotherhood of Maintenance of Way Employes,William J. Clinton,1997-08-21,1997-08-25,62 FR 45139,2847,https://www.govinfo.gov/content/pkg/FR-1997-08-25/pdf/97-22703.pdf,https://www.federalregister.gov/documents/full_text/text/1997/08/25/97-22703.txt,"Executive Order 13060 creates an Emergency Board of three members, appointed by the President, to investigate disputes between Amtrak and its employees represented by the Brotherhood of Maintenance of Way Employees. The Board must submit a report to the President within 30 days of its creation, and the parties may not change the conditions that gave rise to the disputes for 30 days after the report unless they agree. Records of the Board are kept by the Office of the President and transferred to the National Mediation Board upon termination.",labor_and_workforce,,,"[""government_administration""]",creates_body,,stop
13061,97-24591,Federal Support of Community Efforts Along American Heritage Rivers,William J. Clinton,1997-09-11,1997-09-15,62 FR 48445,15626,https://www.govinfo.gov/content/pkg/FR-1997-09-15/pdf/97-24591.pdf,https://www.federalregister.gov/documents/full_text/text/1997/09/15/97-24591.txt,"Extracted factual statements from Executive Order 13061 with source quotes, topics, instruments, relationships, and deadlines.",energy_and_environment,,,[],creates_body,,stop
13062,97-26364,Continuance of Certain Federal Advisory Committees and Amendments to Executive Orders 13038 and 13054,William J. Clinton,1997-09-29,1997-10-02,62 FR 51755,6403,https://www.govinfo.gov/content/pkg/FR-1997-10-02/pdf/97-26364.pdf,https://www.federalregister.gov/documents/full_text/text/1997/10/02/97-26364.txt,"Executive Order 13062 continues a list of federal advisory committees, revokes several earlier orders that created now‑defunct committees, and amends two other orders.",other,,"The order’s subject is the continuation of various federal advisory committees, which does not fit any specific predefined topic category.",[],revokes_or_amends,,stop
13063,97-26365,"Level V of the Executive Schedule: Removal of the Executive Director, Pension Benefit Guaranty Corporation, Department of Labor",William J. Clinton,1997-09-30,1997-10-02,62 FR 51757,1102,https://www.govinfo.gov/content/pkg/FR-1997-10-02/pdf/97-26365.pdf,https://www.federalregister.gov/documents/full_text/text/1997/10/02/97-26365.txt,"The order amends Executive Order 12154 to remove the subsection that places the Executive Director of the Pension Benefit Guaranty Corporation, Department of Labor, at Level V of the Executive Schedule, and re‑letters the remaining subsections.",government_administration,,,[],revokes_or_amends,,stop
