eo_number,document_number,authority,source_quote,quote_trimmed
13411,06-7492,Secretary of Homeland Security,the Secretary of Homeland Security shall submit a quarterly progress report to the Assistant to the President for Homeland Security and Counterterrorism and the Director of the Office of Management and Budget.,0
13412,06-8769,International Emergency Economic Powers Act (IEEPA),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.)(IEEPA),0
13412,06-8769,National Emergencies Act (NEA),the National Emergencies Act (50 U.S.C. 1601 et seq.)(NEA),0
13412,06-8769,28 U.S.C. § 301 (title 3),"section 301 of title 3, United States Code",0
13413,06-9020,"President, under IEEPA, NEA, UNPA, and other statutes","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), section 5 of the United Nations Participation Act, as amended (22 U.S.C. 287c) (UNPA), and section 301 of title 3, United States Code",0
13414,06-9148,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13416,06-9619,Executive Order 12866,draft security requirements are transmitted to the Office of Management and Budget for review in accordance with Executive Order 12866,0
13416,06-9619,Section 313 of the Homeland Security Act of 2002,"consistent with section 313 of the Homeland Security Act of 2002, as amended (6 U.S.C. 193)",0
13417,06-9632,Section 9A(c) of the Railway Labor Act,"Section 9A(c) of the RLA provides that the President, upon such request, shall appoint an emergency board to investigate and report on the disputes.",0
13418,06-9770,President,"striking ``, and stemming the spread of HIV/AIDS.'' and inserting in lieu thereof ``, stemming the spread of HIV/AIDS and controlling malaria.''",0
13419,06-9895,Statutory,"including section 204 of the National Science and Technology Policy, Organization, and Priorities Act of 1976, as amended (42 U.S.C. 6613), section 101(c) of the National Aeronautics and Space Administration Authorization Act of 2005 (Public Law 109-155), and section 301 of title 3, United States Code",0
13420,06-9896,Presidential,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the laws cited herein, it is hereby ordered as follows:",0
13423,07-374,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13424,07-419,the Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13425,07-780,Constitution; Military Commissions Act of 2006; Authorization for Use of Military Force; 10 U.S.C. § 948b(b),"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Military Commissions Act of 2006 (Public Law 109-366), the Authorization for Use of Military Force (Public Law 107-40), and section 948b(b) of title 10, United States Code, it is hereby ordered as follows:",0
13426,07-1137,Secretary of Defense – administrative support and funding for the Commission,"The Secretary of Defense shall, to the extent permitted by law, provide administrative support and funding for the Commission.",0
13426,07-1137,Secretary of Veterans Affairs – administrative support and funding for the Task Force,"The Secretary of Veterans Affairs shall, to the extent permitted by law, provide administrative support and funding for the Task Force.",0
13428,07-1704,Constitution and the laws of the United States,"section 1 of the Act of June 4, 1897 (16 U.S.C. 473) and section 1 of the Act of July 1, 1902 (48 U.S.C. 746)",0
13428,07-1704,Presidential authority under the cited statutes,The Caribbean National Forest in the Commonwealth of Puerto Rico is hereby renamed the ``El Yunque National Forest.'',0
13429,07-1816,Section 9A(e) of the Railway Labor Act,"Section 9A(e) of the Act provides that the President, upon such request, shall appoint a second emergency board to investigate and report on the dispute",0
13431,07-2367,Presidential authority under the Constitution and statutes,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 202 of the Revised Statutes (22 U.S.C. 2656) and section 3161 of title 5, United States Code",0
13432,07-2462,Presidential authority under the Constitution and existing statutes,"the heads of the Department of Transportation, the Department of Energy, and the Environmental Protection Agency to protect the environment with respect to greenhouse gas emissions from motor vehicles, nonroad vehicles, and nonroad engines",0
13433,07-2518,Attorney General,no agency shall enter into a contingency fee agreement for legal or expert witness services,1
13435,07-3112,renames_registry,renames the ``Human Embryonic Stem Cell Registry'' the ``Human Pluripotent Stem Cell Registry;'',0
13435,07-3112,adds_new_cell_lines,adds to the registry new human pluripotent stem cell lines that clearly meet the standard set forth in subsection (a) of this section.,0
13436,07-3258,Constitution and the laws of the United States of America,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
13437,07-3259,"Trade Act of 1974, sections 402(c)(2) and (d)","sections 402(c)(2) and (d) of the Trade Act of 1974, as amended (the ``Act'')(19 U.S.C. 2432(c)(2) and (d))",0
13437,07-3259,Waiver of subsections (a) and (b) of section 402 of the Trade Act of 1974,I hereby waive the application of subsections (a) and (b) of section 402 of the Act with respect to Turkmenistan.,0
13438,07-3552,"Secretary of the Treasury, in consultation with the Secretary of State and the Secretary of Defense","all property and interests in property of the following persons, that are in the United States, that hereafter come within the United States, or that are or hereafter come within the possession or control of United States persons, are blocked and may not be transferred, paid, exported, withdrawn, or otherwise dealt in",0
13440,07-3656,Authorization for Use of Military Force (Public Law 107-40),including the Authorization for Use of Military Force (Public Law 107-40),0
13440,07-3656,Military Commissions Act of 2006 (Public Law 109-366),the Military Commissions Act of 2006 (Public Law 109-366),0
13440,07-3656,"section 301 of title 3, United States Code","section 301 of title 3, United States Code",0
13441,07-3835,President,"I, GEORGE W. BUSH, President of the United States of America, determine that the actions of certain persons ... constitute an unusual and extraordinary threat to the national security and foreign policy of the United States, and I hereby declare a national emergency to deal with that threat.",0
13443,07-4115,Chairman of the Council on Environmental Quality,"The Chairman of the Council on Environmental Quality (Chairman) shall, in coordination with the appropriate Federal agencies and in consultation with the Sporting Conservation Council and in cooperation with State and tribal fish and wildlife agencies and the public, convene ...",0
13443,07-4115,Chairman of the Council on Environmental Quality,"The Chairman shall prepare, consistent with applicable law and subject to the availability of appropriations, in coordination with the appropriate Federal agencies and in consultation with the Sporting Conservation Council, and in cooperation with State and tribal fish and wildlife agencies, ...",0
13444,07-4600,section 7(a)(2) of the Department of State Authorities Act of 2006 (Public Law 109-472),"extend to the African Union Mission to the United States of America, and to its members, the privileges and immunities enjoyed by diplomatic missions accredited to the United States",0
13445,07-4890,Secretary of Education,"establish within the Department of Education for administrative purposes only, an Interagency Adult Education Working Group",0
13448,07-5270,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13448,07-5270,National Emergencies Act (50 U.S.C. 1601 et seq.),the National Emergencies Act (50 U.S.C. 1601 et seq.),0
13448,07-5270,"Burmese Freedom and Democracy Act of 2003 (Public Law 108-61, as amended)","the Burmese Freedom and Democracy Act of 2003 (Public Law 108-61, as amended, 50 U.S.C. 1701 note)",0
13448,07-5270,"28 U.S.C. § 301 (section 301 of title 3, United States Code)","section 301 of title 3, United States Code",0
13449,07-5299,Magnuson‑Stevens Fishery Conservation and Management Act,Magnuson‑Stevens Fishery Conservation and Management Act,0
13449,07-5299,Atlantic Coastal Fisheries Cooperative Management Act,Atlantic Coastal Fisheries Cooperative Management Act,0
13449,07-5299,Atlantic Striped Bass Conservation Act,Atlantic Striped Bass Conservation Act,0
13450,07-5726,Presidential authority under the U.S. Constitution and statutes,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including sections 305 and 306 of title 5, sections 1115, 1116, and 9703 of title 31, and chapter 28 of title 39, United States Code",0
13451,07-5816,International Organizations Immunities Act,section 1 of the International Organizations Immunities Act (22 U.S.C. 288),0
13451,07-5816,Energy Policy Act of 2005,sections 971 and 972 of the Energy Policy Act of 2005 (42 U.S.C. 16311 and 16312),0
13452,07-5919,"Railway Labor Act, 45 U.S.C. §160",including section 10 of the RLA (45 U.S.C. 160),0
13452,07-5919,National Mediation Board,The records and files of the Board are records of the Office of the President and upon the Board's termination shall be maintained in the physical custody of the National Mediation Board.,0
13454,08-62,adjusts rates of basic pay for multiple federal pay systems,The rates of basic pay or salaries for the following offices and positions are set forth on the schedules attached hereto and made a part hereof:,0
13454,08-62,revokes or amends Executive Order 13420,"Executive Order 13420 of December 21, 2006, is superseded.",0
13457,08-483,Presidential authority under the Constitution and U.S. law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13458,08-568,United States Additional Protocol Implementation Act (Public Law 109‑401),United States Additional Protocol Implementation Act (the ``Act'')(Public Law 109-401),0
13458,08-568,section 223 of the United States Additional Protocol Implementation Act,section 223 of the Act,0
13460,08-761,"IEEPA, National Emergencies Act, 31 U.S.C. §301","the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.)(IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
13461,08-797,establishes the order of succession for the Secretary of HHS,"the officers named in section 2, in the order listed, shall act as and perform the functions and duties of the Office of the Secretary of Health and Human Services",0
13462,08-970,President,The PIAB shall consist of not more than 16 members appointed by the President from among individuals who are not employed by the Federal Government.,0
13462,08-970,President,The IOB shall consist of not more than five members of the PIAB who are designated by the President from among members of the PIAB to serve on the IOB.,0
13464,08-1215,IEEPA and NEA,"the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.)",0
13465,08-1348,Constitution,by the authority vested in me as President by the Constitution and the laws of the United States of America,0
13465,08-1348,"subsection 121(a) of title 40, United States Code","including subsection 121(a) of title 40 and section 301 of title 3, United States Code",0
13466,08-1399,declares_national_emergency,I hereby declare a national emergency to deal with that threat.,0
13466,08-1399,continues_blocked_property,"all property and interests in property of North Korea or a North Korean national ... were blocked as of June 16, 2000, and remained blocked immediately prior to the date of this order.",0
13466,08-1399,prohibits_vessel_registration_and_use,"United States persons may not register a vessel in North Korea, obtain authorization for a vessel to fly the North Korean flag, or own, lease, operate, or insure any vessel flagged by North Korea.",0
13466,08-1399,prohibits_evasion_transactions,Any transaction by a United States person ... evades or avoids ... is prohibited.,0
13466,08-1399,defines_terms,"the term ``person'' means an individual or entity; ... the term ``United States person'' means any United States citizen, permanent resident alien, entity organized under the laws of the United States ...",0
13466,08-1399,authorizes_treasury_actions,"The Secretary of the Treasury, after consultation with the Secretary of State, is hereby authorized to take such actions, including the promulgation of rules and regulations, and to employ all powers granted to the President by IEEPA as may be necessary to carry out the purposes of this order.",0
13466,08-1399,allows_redelegation,The Secretary of the Treasury may redelegate any of these functions to other officers and agencies of the United States Government consistent with applicable law.,0
13466,08-1399,directs_agencies,All agencies of the United States Government are hereby directed to take all appropriate measures within their authority to carry out the provisions of this order.,0
13466,08-1399,requires_reports_to_congress,"The Secretary of the Treasury, after consultation with the Secretary of State, is hereby authorized to submit the recurring and final reports to the Congress on the national emergency declared in this order, consistent with section 401(c) of the NEA (50 U.S.C. 1641(c)) and section 204(c) of IEEPA (50 U.S.C. 1703(c)).",0
13469,08-1480,"Constitution, IEEPA, NEA, 31 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
13472,E8-21651,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13472,E8-21651,Federal Vacancies Reform Act of 1998 (5 U.S.C. 3345 et seq.),"the Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.",0
13476,E8-24465,Presidential Transition Act of 1963,"to further the purposes of the Presidential Transition Act of 1963, as amended, and to assist the presidential transition",0
13477,E8-26531,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13479,E8-27777,Vision 100–Century of Aviation Reauthorization Act (Public Law 108‑176),Consistent with sections 709 and 710 of the Act,0
13480,E8-28912,Federal Labor‑Management Relations Program,exempted from coverage under the Federal Labor-,1
13483,E8-30700,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the laws cited herein, it is hereby ordered as follows:",0
13484,E9-811,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.",0
13485,E9-814,President of the United States,"By the authority vested in me as President under the Constitution and the laws of the United States of America, including the Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq., it is hereby ordered that",0
13486,E9-818,Co‑Chairs (Secretaries of Defense and Health and Human Services),"The Co‑Chairs shall convene and preside at meetings of the Working Group, determine its agenda, and direct its work.",0
13487,E9-1538,Presidential authority under the Constitution and statutes,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including section 202 of the Revised Statutes (22 U.S.C. 2656) and section 3161 of title 5, United States Code",0
13488,E9-1574,Executive Order 13488,"This order shall not suspend, impede, or otherwise affect Executive Order 10450 ... or Executive Order 13467",0
13489,E9-1712,revokes EO 13233,"Executive Order 13233 of November 1, 2001, is revoked.",0
13490,E9-1719,"section 301 of title 3, United States Code, and sections 3301 and 7301 of title 5, United States Code","including section 301 of title 3, United States Code, and sections 3301 and 7301 of title 5, United States Code",0
13491,E9-1885,President,The CIA shall close as expeditiously as possible any detention facilities that it currently operates and shall not operate any such detention facility in the future.,0
13491,E9-1885,President,"All departments and agencies of the Federal Government shall provide the International Committee of the Red Cross with notification of, and timely access to, any individual detained in any armed conflict...",0
13492,E9-1893,individuals currently detained at Guantánamo,individuals currently detained at Guant[aacute]namo,0
13493,E9-1895,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13494,E9-2483,Presidential authority under the Constitution and Federal Property and Administrative Services Act,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Property and Administrative Services Act, 40 U.S.C. 101 et seq., it is hereby ordered that:",0
13495,E9-2484,Secretary of Labor,The Secretary of Labor (Secretary) is responsible for investigating and obtaining compliance with this order.,0
13496,E9-2485,Secretary of Labor,"Within 120 days of the effective date of this order, the Secretary shall initiate a rulemaking to prescribe the size, form, and content of the notice to be posted by a contractor under paragraph 1 of the contract clause described in section 2 of this order.",0
13496,E9-2485,Secretary of Labor,"The Secretary may investigate any Government contractor, subcontractor, or vendor to determine whether the contractual provisions required by section 2 of this order have been violated.",0
13496,E9-2485,Secretary of Labor,"The Secretary, or any agency or officer in the executive branch lawfully designated by rule, regulation, or order of the Secretary, may hold such hearings, public or private, regarding compliance with this",1
13497,E9-2486,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered that:",0
13498,E9-2893,President,The Council shall terminate 2 years from the date of this order unless extended by the President.,0
13500,E9-3108,Constitution,By the authority vested in me as President by the Constitution,0
13501,E9-3112,termination after 2 years,The PERAB shall terminate 2 years after the date of this order unless extended by the President.,0
13502,E9-3113,"Constitution; Federal Property and Administrative Services Act, 40 U.S.C. 101","the authority vested in me as President by the Constitution and the laws of the United States of America, including the Federal Property and Administrative Services Act, 40 U.S.C. 101 et seq.",0
13502,E9-3113,29 U.S.C. 152(5),The term “labor organization” as used in this order means a labor organization as defined in 29 U.S.C. 152(5).,0
13502,E9-3113,29 U.S.C. 158(f),The term “project labor agreement” as used in this order means a pre‑hire collective bargaining agreement … described in 29 U.S.C. 158(f).,0
13504,E9-4103,Executive Order 13390,Amending Executive Order 13390,0
13505,E9-5441,Presidential authority under the Constitution and the laws of the United States of America,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13506,E9-5802,Presidential authority under the Constitution and U.S. law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, I hereby order as follows:",0
13507,E9-8572,the Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13508,E9-11547,heads of agencies may grant exceptions,"The heads of agencies may authorize exceptions to this order, in the following circumstances",0
13510,E9-16034,subsection 402(c)(2) of the Trade Act of 1974,I hereby waive the application of subsections (a) and (b) of section 402 of the Act with respect to the Republic of Belarus.,0
13511,E9-23886,"Presidential authority under the Constitution, statutes, and the Federal Advisory Committee Act","By the authority vested in me as President by the Constitution and the laws of the United States of America, and consistent with the provisions of the Federal Advisory Committee Act, as amended (5 U.S.C. App.), it is hereby ordered as follows:",0
13513,E9-24203,Secretary of Transportation,"The Secretary of Transportation, in consultation with the Administrator of General Services and the Director of the Office of Personnel Management, shall provide leadership and guidance to the heads of executive branch agencies to assist them with any action pursuant to this order.",0
13514,E9-24518,OMB Director and CEQ Chair,The OMB Director and the CEQ Chair shall: (a) establish an interagency Steering Committee (Steering Committee) on Federal Sustainability,0
13515,E9-25268,President,The Commission shall consist of not more than 20 members appointed by the President.,0
13515,E9-25268,President,"The Commission shall terminate 2 years from the date of this order, unless renewed by the President.",0
13516,E9-26408,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13519,E9-28022,Attorney General,The Attorney General shall convene the first meeting of the Task Force within 30 days of the date of this order and shall thereafter convene the Task Force at such times as he deems appropriate.,0
13519,E9-28022,Attorney General,The Attorney General shall convene the first meeting of the Task Force within 30 days of the date of this order,0
13520,E9-28493,the Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13522,E9-29781,establishment of a new inter‑agency council,There is established the National Council on Federal Labor-Management Relations (Council).,0
13523,E9-30020,"Executive Order 11582 (1971) and 5 U.S.C. § 5546, § 6103(b) for pay and leave","shall be considered as falling within the scope of Executive Order 11582 of February 11, 1971",0
13525,E9-31098,"adjusts rates of basic pay for statutory pay systems, Senior Executive Service, Executive Schedule, etc.","The rates of basic pay or salaries of the statutory pay systems (as defined in 5 U.S.C. 5302(1)), as adjusted under 5 U.S.C. 5303 and section 744 of Division C of the Consolidated Appropriations Act, 2010 (Public Law 111-117, December 16, 2009), are set forth on the schedules attached hereto and made a part hereof:",0
13525,E9-31098,supersedes Executive Order 13483,"Executive Order 13483 of December 18, 2008, is superseded.",0
13525,E9-31098,sets effective dates for the new pay schedules,"Schedule 8 is effective January 1, 2010. The other schedules contained herein are effective on the first day of the first applicable pay period beginning on or after January 1, 2010.",0
13526,E9-31418,revokes,"Executive Order 12958 of April 17, 1995, and amendments thereto, including Executive Order 13292 of March 25, 2003, are hereby revoked as of the effective date of this order.",0
13527,2010-38,Presidential authority under the U.S. Constitution and federal law,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13528,2010-705,"National Defense Authorization Act of 2008, sec. 1822",section 1822 of the National Defense Authorization Act of 2008 (Public Law 110-181),0
13529,2010-1229,"10 U.S.C. §§ 121, 12304","including sections 121 and 12304 of title 10, United States Code",0
13530,2010-2419,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13531,2010-3725,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13534,2010-5837,Executive Order 12870,"The Export Promotion Cabinet shall coordinate with the Trade Promotion Coordinating Committee (TPCC), established by Executive Order 12870 of September 30, 1993.",0
13535,2010-7154,Patient Protection and Affordable Care Act,the Patient Protection and Affordable Care Act (the “Act”),0
13536,2010-8878,"Constitution, IEEPA, NEA, UNPA, 22 U.S.C. 287c, 50 U.S.C. 1701 et seq., 50 U.S.C. 1601 et seq., 3 U.S.C. §301","By the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), section 5 of the United Nations Participation Act, as amended (22 U.S.C. 287c) (UNPA), and section 301 of title 3, United States Code,",0
13537,2010-9078,President of the United States,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13538,2010-9451,Presidential constitutional and statutory authority,"By the authority vested in me as President by the Constitution and the laws of the United States of America, it is hereby ordered as follows:",0
13539,2010-9796,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13540,2010-10172,Presidential authority under the Military Reservist and Veteran Small Business Reauthorization and Opportunity Act of 2008,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including section 102 of title I of the Military Reservist and Veteran Small Business Reauthorization and Opportunity Act of 2008 (Public Law 110-186) (the “Act”),",0
13541,2010-11557,Secretary of State,The ISPO shall be headed by a Director selected by the Secretary.,0
13541,2010-11557,Secretary of State,"The Secretary shall transfer from the ITAO to the ISPO the personnel, assets, liabilities, and records of the ITAO.",0
13542,2010-12070,Executive Order 13241,"Executive Order 13241 of December 18, 2001, as amended, is hereby revoked.",0
13544,2010-14613,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including section 4001 of the Patient Protection and Affordable Care Act (Public Law 111‑148), it is hereby ordered as follows:",0
13546,2010-16864,Federal Experts Security Advisory Panel,"There is hereby established, within the Department of Health and Human Services for administrative purposes only, the Federal Experts Security Advisory Panel (Panel), which shall make technical and substantive recommendations on BSAT security concerning the SAP.",0
13548,2010-18988,reporting system for agency progress on disability employment,"the Director of the Office of Personnel Management, in consultation with the Director of the Office of Management and Budget, shall implement a system for reporting regularly to the President, the heads of agencies, and the public on agencies' progress",0
13549,2010-21016,"maintains existing requirements of EO 13526, EO 12968, EO 13467, EO 12829","This order does not change the requirements of Executive Orders 13526, 12968, 13467, or 12829, as amended, and their successor orders and directives.",0
13550,2010-21020,Presidential authority under the Constitution and statutes,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including section 202 of the Revised Statutes (22 U.S.C. 2656) and section 3161 of title 5, United States Code",0
13551,2010-22002,President,"I, BARACK OBAMA, President of the United States of America, hereby expand the scope of the national emergency declared in Executive Order 13466 of June 26, 2008",0
13552,2010-22279,Executive Order 12473,"prescribed by Executive Order 12473 of April 13, 1984, as amended",0
13553,2010-24839,International Emergency Economic Powers Act (IEEPA),International Emergency Economic Powers Act (50 U.S.C. 1701et seq.) (IEEPA),0
13553,2010-24839,National Emergencies Act,National Emergencies Act (50 U.S.C. 1601et seq.),0
13553,2010-24839,"Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010 (CISADA)","Comprehensive Iran Sanctions, Accountability, and Divestment Act of 2010 (Public Law 111-195) (CISADA)",0
13553,2010-24839,"28 U.S.C. § 301 (section 301 of title 3, United States Code)","section 301 of title 3, United States Code",0
13554,2010-25578,President,The President shall designate a Chair of the Task Force,0
13555,2010-27004,Executive Order 13555,"This order supersedes Executive Order 13230 of October 12, 2001.",0
13556,2010-28360,establishes a program for managing Controlled Unclassified Information,this order establishes an open and uniform program for managing information that requires safeguarding or dissemination,1
13557,2010-28365,order of succession for the Attorney General,shall act as and perform the functions and duties of the office of Attorney General,0
13557,2010-28365,Federal Vacancies Reform Act of 1998,"including the Federal Vacancies Reform Act of 1998, 5 U.S.C. 3345 et seq.",0
13557,2010-28365,28 U.S.C. 508,pursuant to 28 U.S.C. 508 to act as Attorney General,0
13559,2010-29579,issue guidance to agencies,"The Director of the Office of Management and Budget (OMB), following receipt of a copy of the report of the Working Group, and in coordination with the Department of Justice, shall issue guidance to agencies on the implementation of this order",0
13559,2010-29579,provide funding and administrative support,The Department of Health and Human Services shall provide funding and administrative support for the Working Group to the extent permitted by law and within existing appropriations.,0
13559,2010-29579,serve as Co‑Chairs of the Working Group,The Director of the Office of Faith-Based and Neighborhood Partnerships and a senior official from the OMB designated by the Director of the OMB shall serve as the Co‑Chairs of the Working Group.,0
13560,2010-31878,Constitution of the United States and U.S. laws,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13560,2010-31878,Federal Advisory Committee Act (5 U.S.C. App.),"the Federal Advisory Committee Act, as amended (5 U.S.C. App.)",0
13560,2010-31878,Serve America Act (Public Law 111-13),Serve America Act (Public Law 111-13),0
13561,2010-32960,Presidential,"By the authority vested in me as President by the Constitution and the laws of the United States of America, including the laws cited herein, it is hereby ordered as follows:",0
13562,2010-33169,"5 U.S.C. §§ 3301, 3302","including sections 3301 and 3302 of title 5, United States Code",0
13562,2010-33169,5 U.S.C. 3302(1),pursuant to my authority under 5 U.S.C. 3302(1),0
13562,2010-33169,5 U.S.C. 2301(b)(1),as provided in 5 U.S.C. 2301(b)(1),0
13563,2011-1385,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13564,2011-2577,President of the United States,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13565,2011-3257,"PRO IP Act, title III","by the authority vested in me as President by the Constitution and the laws of the United States of America, including title III of the Prioritizing Resources and Organization for Intellectual Property Act of 2008 (Public Law 110‑403)(15 U.S.C. 8111‑8116) (the “PRO IP Act”)",0
13567,2011-5728,Executive Order 13567 – Section 1(a),applies only to those detainees held at Guant[aacute]namo on the date of this order,0
13570,2011-9739,International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA),0
13571,2011-10732,references EO 12862,"Executive Order 12862 (Setting Customer Service Standards), issued on September 11, 1993, requires agencies that provide significant services directly to the public to identify and survey their customers",0
13573,2011-12645,Secretary of the Treasury,"The Secretary of the Treasury ... is hereby authorized to take such actions, including the promulgation of rules and regulations, and to employ all powers granted to the President by IEEPA as may be necessary to carry out the purposes of this order.",0
13573,2011-12645,Secretary of the Treasury,"The Secretary of the Treasury ... is hereby authorized to determine that circumstances no longer warrant the blocking of the property and interests in property of a person listed in the Annex to this order, and to take necessary action to give effect to that determination.",0
13574,2011-13173,President,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.)",0
13575,2011-14919,Constitution and U.S. law,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13578,2011-17447,Director of the National Economic Council,"advise the President, in coordination with the Director of the National Economic Council, on the potential effects of pending legislation;",0
13578,2011-17447,Director of the Office of Management and Budget,"functions of the Director of the Office of Management and Budget relating to budgetary, administrative, or legislative proposals.",0
13579,2011-17953,EO 13563,"Executive Order 13563 of January 18, 2011, ``Improving Regulation and Regulatory Review,'' directed to executive agencies, was meant to produce a regulatory system that protects ``public health, welfare, safety, and our environment while promoting economic growth, innovation, competitiveness, and job creation.''",0
13579,2011-17953,EO 12866,"For purposes of this order, ``executive agency'' shall have the meaning set forth for the term ``agency'' in section 3(b) of Executive Order 12866 of September 30, 1993",0
13581,2011-19156,President of the United States,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.) (NEA), and section 301 of title 3, United States Code,",0
13582,2011-21505,President,"by the authority vested in me as President by the Constitution and the laws of the United States of America, including the International Emergency Economic Powers Act (50 U.S.C. 1701 et seq.) (IEEPA), the National Emergencies Act (50 U.S.C. 1601 et seq.), and section 301 of title 3, United States Code",0
13583,2011-21704,Presidential constitutional and statutory authority,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13584,2011-23891,"section 404o of title 50, United States Code","Consistent with section 404o of title 50, United States Code, the Center shall coordinate its analysis, evaluation, and planning functions with the National Counterterrorism Center",0
13584,2011-23891,"section 3161 of title 5, United States Code","There is established within the Department of State, in accordance with section 3161 of title 5, United States Code, a temporary organization to be known as the Counterterrorism Communications Support Office (CCSO)",0
13585,2011-26141,President,"By the authority vested in me as President by the Constitution and the laws of the United States of America, and consistent with the provisions of the Federal Advisory Committee Act, as amended (5 U.S.C. App.)",0
13586,2011-26574,section 10 of the Railway Labor Act,section 10 of the RLA (45 U.S.C. 160),0
13588,2011-28728,21 U.S.C. § 356c (reporting requirements for drug manufacturers),21 U.S.C. 356c,0
13589,2011-29683,Constitution and the laws of the United States of America,By the authority vested in me as President by the Constitution and the laws of the United States of America,0
13589,2011-29683,Telework Enhancement Act of 2010,consistent with the Telework Enhancement Act of 2010 (Public Law 111-292),0
13589,2011-29683,Inspector General Act of 1978,"authority of inspectors general under the Inspector General Act of 1978, as amended",0
13589,2011-29683,Executive Order 13576,"consistent with Executive Order 13576 of June 13, 2011",0
