eo_number,document_number,due_description,due_date,responsible_party,source_quote,quote_trimmed
13328,04-3170,Commission must terminate within 60 days after its report is submitted,,Commission,The Commission shall terminate within 60 days after submitting its report.,0
13330,04-4451,1 calendar year from the date of this order,2025‑02‑24,Interagency Transportation Coordinating Council,present to me a report not later than 1 calendar year from the date of this order.,0
13331,04-4884,Report to the President on proposed actions,180 days after 27 February 2004,"Chief Executive Officer, Corporation for National and Community Service","Within 180 days after the date of this order, the Chief Executive Officer shall report to the President",0
13334,04-8616,Report to the President within 30 days of the Board’s creation,,Board,The Board shall report to the President with respect to this dispute within 30 days of its creation.,0
13334,04-8616,No change in the conditions for 120 days after the Board’s creation,,Parties to the dispute,"from the date of the creation of the Board and for 120 days thereafter, no change in the",1
13335,04-10024,Operations must begin within 90 days of April 27 2004,,Department of Health and Human Services,within 90 days of the date of this order,0
13335,04-10024,HHS report to the President,,Department of Health and Human Services,within 90 days of this order,0
13335,04-10024,OPM report to the President,,Office of Personnel Management,report within 90 days of this order,0
13335,04-10024,VA‑DoD joint report to the President,,Department of Veterans Affairs; Department of Defense,"Within 90 days, the Secretary of Veterans Affairs and the Secretary of Defense shall jointly report",0
13336,04-10377,Develop a Federal interagency plan,90 days after 30 April 2004,Interagency Working Group,"The Working Group shall, within 90 days of the date of this order, develop a Federal interagency plan",0
13336,04-10377,Termination of the Working Group,no later than 5 years after 30 April 2004,Interagency Working Group,"The Working Group established under section 2 of this order shall terminate not later than 5 years from the date of this order, unless extended by the President.",0
13337,04-10378,Federal officials must provide their views within 90 days of the request,,Federal Government officials consulted by the Secretary of State,but not to exceed 90 days from the date of the request,0
13337,04-10378,An official may object to the Secretary’s proposed determination within 15 days after notification,,Any official required to be consulted under paragraph (b)(ii),within 15 days after notification pursuant to paragraphs (g) or (h) of this section,0
13338,04-11058,effective date,2004-05-12T12:01:00-04:00,,"This order is effective at 12:01 eastern daylight time on May 12, 2004.",0
13339,04-11271,Commission termination,2006-05-13,President,"The Commission shall terminate 2 years from the date of this order, unless renewed by the President.",0
13340,04-11592,Report to the President,2005-05-31,Great Lakes Interagency Task Force,"Submit a report to the President by May 31, 2005, and thereafter as appropriate",0
13342,04-12745,Operations must commence within 45 days of the order’s effective date.,45 days from the date of this order,Each Center,(d) Each Center shall begin operations no later than 45 days from the date of this order.,0
13342,04-12745,First report due 180 days after the order; subsequent reports due annually.,180 days from the date of this order (initial report); annually thereafter (subsequent reports),Each Center,"(a) Report. Not later than 180 days from the date of this order and annually thereafter, each of the three Centers described in section 1 of this order shall prepare and submit a report to the President through the White House OFBCI.",0
13343,04-13123,"June 11, 2004",2004-06-11,,"All executive departments, independent establishments, and other governmental agencies shall be closed on June 11, 2004",0
13347,04-17150,"annual report due each year, starting one year after the order’s effective date",,Interagency Coordinating Council on Emergency Preparedness and Individuals with Disabilities,each year beginning 1 year after the date of this order,0
13347,04-17150,"annual report due each year, starting one year after the order’s effective date",,Interagency Coordinating Council on Emergency Preparedness and Individuals with Disabilities,"The Council shall submit to the President each year beginning 1 year after the date of this order, through the Assistant to the President for Homeland Security, a report that describes:",0
13351,04-18575,Parties must submit final settlement offers 30 days after the Board is created,,Parties to the dispute,"Within 30 days after the creation of the Board, the parties to the dispute shall submit to the Board final offers for settlement of the dispute.",0
13351,04-18575,Board must submit its report 30 days after receiving the final offers,,Emergency Board,"Within 30 days after the submission of final offers for settlement of the dispute, the Board shall submit a report to the President setting forth its selection of the most reasonable offer.",0
13351,04-18575,Parties may not change dispute conditions for 60 days after the Board’s report,,Parties to the dispute,"until 60 days after the Board submits its report to the President, the parties to the controversy shall make no change in the conditions out of which the dispute arose except by agreement of the parties.",0
13352,04-19909,Conference must be convened not later than one year after the order’s date,,Chairman of the Council on Environmental Quality,"convene not later than 1 year after the date of this order, and thereafter at such times as the Chairman deems appropriate, a White House Conference on Cooperative Conservation (Conference)",0
13358,04-22212,Effective date,2004-10-01,,"This order shall take effect on October 1, 2004.",0
13360,04-24098,Agency heads must report annually to the Administrator of the Small Business Administration on implementation of their strategy.,annually,Agency heads,report annually to the Administrator of the Small Business Administration,0
13369,05-771,Report due no later than July 31 2005,2005-07-31,President’s Advisory Panel on Federal Tax Reform,"The Advisory Panel shall submit to the Secretary of the Treasury a report ... not later than July 31, 2005.",0
13369,05-771,Panel terminates 30 days after report submission,,President’s Advisory Panel on Federal Tax Reform,The Advisory Panel shall terminate 30 days after submitting its report pursuant to section 5 of this order.,0
13371,05-1886,order expiration,2007-01-29,,"(b) Unless further extended by the President, this order shall expire on January 29, 2007.",0
13371,05-1886,order expiration,2007-01-29,,"(b) Unless further extended by the President, this order shall expire on January 29, 2007.",0
13379,05-12284,reporting deadline,"September 30, 2005",,"Section 5 of Executive Order 13369 of January 7, 2005, is amended by deleting ``July 31, 2005'' and inserting in lieu thereof ``September 30, 2005''.",0
13381,05-13098,Report to the President on implementation of the order,2006-04-01,Director of the Office of Management and Budget,"The Director shall submit a report to the President, on or before April 1, 2006, on the implementation of this order and the policy set forth in section 1 of this order.",0
13381,05-13098,Expiration of the order (unless extended),2006-07-01,President,"Unless extended by the President, this order shall expire on July 1, 2006.",0
13382,05-13214,effective date,2005-06-29T00:01:00-04:00,,"This order is effective at 12:01 a.m. eastern daylight time on June 29, 2005.",0
13386,05-20156,new reporting deadline for Section 5,2005-11-01,,"deleting ``September 30, 2005'' and inserting in lieu thereof ``November 1, 2005''",0
13386,05-20156,new reporting deadline for Section 7,2005-11-15,,"deleting ``30 days after submitting its report pursuant to section 5 of this order'' and inserting in lieu thereof ``November 15, 2005''",0
13387,05-20944,30 days from the date of this order,,,These amendments shall take effect 30 days from the date of this order.,0
13387,05-20944,30 days from the date of this order,,,These amendments shall take effect 30 days from the date of this order.,0
13389,05-22132,Termination of the Council 3 years after the order date,,Gulf Coast Recovery and Rebuilding Council,"The Council shall terminate 3 years from the date of this order, unless extended by the President.",0
13391,05-23412,Effective date,2005-11-23,,"Sec. 4. This order shall take effect at 12:01 a.m. eastern standard time, November 23, 2005.",0
13392,05-24255,Agency heads must submit a report to the Attorney General and OMB Director summarizing the FOIA review and plan,6 months from order date,Agency heads,no later than 6 months from the date of this order,0
13392,05-24255,Attorney General must submit a report on agency FOIA implementation to the President,10 months from order date,Attorney General,"shall submit to the President, no later than 10 months from the date of this order, a report on agency FOIA implementation",0
13392,05-24255,Attorney General must submit two additional annual FOIA implementation reports,"June 1, 2007; June 1, 2008",Attorney General,"shall thereafter submit two further annual reports, by June 1, 2007, and June 1, 2008",0
13397,06-2362,Center must begin operations,45 days from the date of this order,Center for Faith-Based and Community Initiatives,The Center shall begin operations no later than 45 days from the date of this order.,0
13397,06-2362,First report to WHOFBCI Director,180 days from the date of this order,Center for Faith-Based and Community Initiatives,"Not later than 180 days from the date of this order and annually thereafter, the Center shall prepare and submit a report to the WHOFBCI Director.",0
13397,06-2362,Subsequent reports to WHOFBCI Director,annually thereafter,Center for Faith-Based and Community Initiatives,"Not later than 180 days from the date of this order and annually thereafter, the Center shall prepare and submit a report to the WHOFBCI Director.",0
13398,06-3865,preliminary report to the President,2007-01-31,National Mathematics Advisory Panel,"the Panel shall submit to the President, through the Secretary, a preliminary report not later than January 31, 2007, and a final report not later than February 28, 2008.",0
13398,06-3865,final report to the President,2008-02-28,National Mathematics Advisory Panel,"the Panel shall submit to the President, through the Secretary, a preliminary report not later than January 31, 2007, and a final report not later than February 28, 2008.",0
13398,06-3865,termination of the Advisory Panel (unless extended),2008-04-18,National Mathematics Advisory Panel,this Advisory Panel shall terminate 2 years after the date of this order.,0
13399,06-4085,effective date,2006-04-26T00:01:00-04:00,,"This order is effective at 12:01 a.m. eastern daylight time on April 26, 2006.",0
13401,06-4132,Agency heads must designate a Liaison,20 days after the order’s date,Head of each agency,within 20 days after the date of this order,0
13401,06-4132,Each agency Liaison must submit a report to the USA Freedom Corps,"180 days after the order’s date, then each year",Agency Liaison,Not later than 180 days from the date of this order and annually thereafter,0
13402,06-4552,Submit a coordinated strategic plan to the President,,Identity Theft Task Force,within 180 days after the date of this order,0
13409,06-6101,Board must submit its report to the President,within 30 days of its creation,Emergency Board,The Board shall report to the President with respect to this dispute within 30 days of its creation.,0
13409,06-6101,"No change in the conditions that gave rise to the dispute may be made by the parties, except by agreement",120 days after the Board’s creation,Parties to the dispute,"from the date of the creation of the Board and for 120 days thereafter, no change in the conditions out of which the dispute arose shall be made by the parties to the controversy, except by agreement of the parties.",0
13410,06-7220,Compliance with all directives in the order,2007-01-01,All Federal agencies that administer or sponsor a Federal health care program,"Agencies shall comply with the requirements of this order by January 1, 2007.",0
13411,06-7492,Plan submission to the President,2007-03-01,Secretary of Homeland Security,"Not later than March 1, 2007, the Secretary of Homeland Security shall submit the Plan to the President",0
13411,06-7492,Phased implementation of the Plan,2008-12-31,Secretary of Homeland Security,"include an implementation schedule for the Plan's recommendations that provides for the phased implementation of the Plan by December 31, 2008",0
13414,06-9148,"by February 9, 2007, or as soon as practicable thereafter",2007-02-09,Chairman and Co-Chairman,"prepare and submit in writing to the President by February 9, 2007, or as soon as practicable thereafter",0
13416,06-9619,December 31 2006,2006-12-31,Secretary of Homeland Security,"not later than December 31, 2006, develop a comprehensive transportation systems sector specific plan",0
13416,06-9619,90 days after the comprehensive plan is completed,,Secretary of Homeland Security,"not later than 90 days after the comprehensive transportation systems sector specific plan is completed, develop an annex to such plan",0
13416,06-9619,180 days after the order date (by 2007‑03‑03),2007-03-03,Secretary of Homeland Security,"not later than 180 days after the date of this order, identify surface transportation modes, or components thereof, that are subject to high risk of terrorist attack",0
13416,06-9619,180 days after the order date (by 2007‑03‑03),2007-03-03,Secretary of Homeland Security,"not later than 180 days after the date of this order,",1
13417,06-9632,Board must submit report to the President,within 30 days of board creation,Emergency Board,The Board shall report to the President with respect to the disputes within 30 days of its creation.,0
13417,06-9632,Prohibition on changing dispute conditions,120 days after board creation,Parties to the dispute,"from the date of the creation of the Board and for 120 days thereafter, no change in the conditions out of which the disputes arose shall be made by the parties to the controversy, except by agreement of the parties.",0
13419,06-9895,Submit the initial national aeronautics R&D plan,1 year after the date of this order,"Director, Office of Science and Technology Policy",not later than 1 year after the date of this order,0
13419,06-9895,Submit any changes to the plan,biennially,"Director, Office of Science and Technology Policy",not less often than biennially,0
13420,06-9896,"effective on February 16, 2007",2007-02-16,,"Rates for the Congress, under Schedule 6, are effective on February 16, 2007.",0
13420,06-9896,"effective on January 1, 2007",2007-01-01,,"Schedule 8 is effective on January 1, 2007.",0
13420,06-9896,"effective on the first day of the first applicable pay period beginning on or after January 1, 2007",,,"The other schedules contained herein are effective on the first day of the first applicable pay period beginning on or after January 1, 2007.",0
13421,06-9993,Closure date,2007-01-02,,"All executive departments, independent establishments, and other governmental agencies shall be closed on January 2, 2007",0
13422,07-293,Each agency head shall designate one of the agency's Presidential Appointees to be its Regulatory Policy Officer,Within 60 days of the date of this Executive order,Each agency head,"Within 60 days of the date of this Executive order, each agency head shall designate one of the agency's Presidential Appointees to be its Regulatory Policy",1
13423,07-374,within 30 days after the date of this order,,Each agency head,within 30 days after the date of this order,1
13423,07-374,once every 2 years,,Federal Environmental Executive,"submit a report to the President, through the Chairman of the Council, not less often than once every 2 years",0
13423,07-374,not later than January 1 of each year through and including 2010,,Secretary of Defense,"not later than January 1 of each year through and including 2010, the Secretary of Defense shall submit",1
13426,07-1137,Final report of the Commission,2007-06-30 (or 2007-07-31 if extended),President's Commission on Care for America's Returning Wounded Warriors,"The Commission shall issue a final report by June 30, 2007, unless the Co‑Chairs provide written notice to the President that an extension is necessary, in which case the Commission shall issue the final report by July 31, 2007.",0
13426,07-1137,Submission of the Task Force action plan,2007-04-20,Interagency Task Force on Returning Global War on Terror Heroes,The Task Force shall submit the action plan to the President within 45 days of the date of this order.,0
13426,07-1137,Termination of the Commission (30 days after final report),30 days after the final report date,President's Commission on Care for America's Returning Wounded Warriors,"The Commission shall terminate 30 days after submitting its final report, unless extended by the President prior to that date.",0
13426,07-1137,Termination of the Task Force (upon completion of duties),,Interagency Task Force on Returning Global War on Terror Heroes,"The Secretary, with the approval of the President, shall terminate the Task Force upon the completion of its duties.",0
13429,07-1816,Parties must submit final settlement offers within 30 days of Board creation,,Parties to the dispute,"Within 30 days after the creation of the Board, the parties to the dispute shall submit to the Board final offers for settlement of the dispute",0
13429,07-1816,Board must submit its report within 30 days after receiving final offers,,Emergency Board,"Within 30 days after the submission of final offers for settlement of the dispute, the Board shall submit a report to the President setting forth its selection of the most reasonable offer",0
13429,07-1816,Parties must maintain existing conditions for 60 days after the Board’s report,,Parties to the dispute,"until 60 days after the Board submits its report to the President, the parties to the controversy shall make no change in the conditions out of which the dispute arose except by agreement of the parties",0
13430,07-2027,30 days from the date of this order,,,Sec. 5. These amendments shall take effect 30 days from the date of this order.,0
13432,07-2462,Concurrence from other agency heads must be obtained at least 30 days before a regulatory action is published.,,Agency heads,in no event later than 30 days prior to publication of such action.,0
13432,07-2462,OMB Director must report to the President at least twice per year.,,Director of the Office of Management and Budget,"not less often than semiannually,",0
13433,07-2518,Each agency head shall notify the Attorney General and OMB of any contingency fee agreements that are in effect as of the date of this order.,Within 90 days after the date of this order,Agency heads,"Within 90 days after the date of this order,",1
13434,07-2570,Submit National Strategy,60 days after 17 May 2007,Assistant to the President for Homeland Security and Counterterrorism (APHS/CT) (in coordination with APNSA),"Not later than 60 days after the date of this order, the Assistant to the President for Homeland Security and Counterterrorism (APHS/CT) ... shall submit ... a National Strategy",0
13434,07-2570,Submit implementation plan for the National Strategy,120 days after the President’s approval of the National Strategy,Security Professional Development Executive Steering Committee,"Not later than 120 days after the approval of the National Strategy by the President, the Steering Committee shall submit ... an implementation plan",0
13434,07-2570,Submit annual status report on implementation of the plan,Annually after the first implementation‑plan submission,Security Professional Development Executive Steering Committee,and annually thereafter shall submit ... a status report on the implementation of the plan,0
13435,07-3112,Secretary shall issue an implementation plan,Within 90 days of this order,Secretary of Health and Human Services,"Within 90 days of this order, the Secretary, after such consultation with the Director of the National Institutes of Health (Director), shall issue a plan, … to implement subsection (a) of this section",0
13435,07-3112,Secretary shall submit annual report to the President,Not later than December 31 of each year,Secretary of Health and Human Services,"Not later than December 31 of each year, the Secretary shall report to the President on the activities carried out under this order during the past fiscal year",0
13443,07-4115,Plan to be prepared no later than 1 year after the Conference concludes,,Chairman of the Council on Environmental Quality,"shall prepare ... not later than 1 year following the conclusion of the Conference, a comprehensive Recreational Hunting and Wildlife Conservation Plan",0
13445,07-4890,first report to the President on the Working Group’s work,9 months after the date of this order,Chair of the Interagency Adult Education Working Group,with the first such report to be submitted no later than 9 months after the date of this order,0
13446,07-4906,continuance deadline for the listed advisory committees,2009-09-30,,"Each advisory committee listed below is continued until September 30, 2009.",0
13446,07-4906,effective date of the order,2007-09-30,,"Sec. 6. This order shall be effective September 30, 2007.",0
13447,07-4907,effective date,2007-10-01,,"These amendments shall take effect on October 1, 2007.",0
13452,07-5919,Board must submit its report within 30 days of creation,,Emergency Board,The Board shall report to the President with respect to the disputes within 30 days of its creation.,0
13452,07-5919,No change in conditions for 30 days after the Board’s report,,Parties to the dispute,"from the date of the creation of the Board and for 30 days after the Board has submitted its report to the President, no change in the conditions out of which the disputes arose shall be made by the parties to the controversy",0
13453,07-6022,Closure of all executive branch departments and agencies,2007-12-24,,"All executive branch departments and agencies of the Federal Government shall be closed and their employees excused from duty on Monday, December 24, 2007",0
13457,08-483,Publish written congressional earmark communications on the Internet,30 days after receipt of the communication,Receiving agency,"shall be made publicly available on the Internet by the receiving agency, not later than 30 days after receipt of such communication",0
13462,08-970,Members appointed under the transition provisions must serve until 15 months after 29 February 2008.,2020-05-29,Members of the PIAB and IOB transitioning from EO 12863,to serve as such consistent with this order until the date that is 15 months following the date of this order.,0
13464,08-1215,effective date,2008-05-01T00:01:00-04:00,,"effective at 12:01 a.m. eastern daylight time on May 1, 2008",0
13468,08-1472,30 days from the date of this order,,,These amendments shall take effect 30 days from the date of this order.,0
13468,08-1472,30 days from the date of this order,,,These amendments shall take effect 30 days from the date of this order.,0
13471,E8-20436,Expiration of the order,2009-06-30,,"(b) Unless further extended by the President, this order shall expire on June 30, 2009.",0
13472,E8-21651,within 30 days from the date of this order,2008-10-11,each agency for which presidential action is required to establish an order of succession,"not later than 30 days from the date of this order, send such proposed draft order to the Counsel to the President",0
13472,E8-21651,within 30 days from the date of this order,2008-10-11,each agency described in subsection 4(a),Not later than 30 days from the date of this order,0
13472,E8-21651,within 7 days from the issuance date of any subsequent final revision to an existing order of succession,,each agency described in subsection 4(a),not later than 7 days from the issuance date of any subsequent final revision to an existing order of succession,0
13476,E8-24465,order expiration,2009-02-20,,"Unless extended by the President, this order shall expire on February 20, 2009.",0
13479,E8-27777,establish support staff,60 days after order date,Secretary of Transportation,not later than 60 days after the date of this order,0
13479,E8-27777,establish advisory committee,180 days after order date,Secretary of Transportation,not later than 180 days after the date of this order,0
13479,E8-27777,Senior Policy Committee reporting,every 2 years,Senior Policy Committee,report not less often than every 2 years to the President,0
13482,E8-30042,"Friday, December 26, 2008",2008-12-26,,"All executive branch departments and agencies of the Federal Government shall be closed and their employees excused from duty on Friday, December 26, 2008",0
13483,E8-30700,Effective date for Schedule 8,2009-01-01,,"Schedule 8 is effective January 1, 2009.",0
13483,E8-30700,Effective date for all other schedules,2009-01-01,,"The other schedules contained herein are effective on the first day of the first applicable pay period beginning on or after January 1, 2009.",0
13486,E9-818,Report to the President not later than 180 days after the date of this order,,Working Group,"submit a report to the President, through the Co‑Chairs, not later than 180 days after the date of this order that is unclassified, with a classified annex as required",0
13486,E9-818,Termination of the Working Group 60 days after the date of the report submitted under subsection 3(c),,Working Group,The Working Group shall terminate 60 days after the date of the report submitted under subsection 3(c) of this order.,0
13488,E9-1574,Applicability to individuals newly appointed to excepted service positions or hired as contractor employees,90 days from the effective date,All executive agencies,This order is effective upon issuance and is applicable to individuals newly appointed ... beginning 90 days from the effective date of this order.,0
13489,E9-1712,30 days after receipt by the incumbent and former Presidents of a notice of intent to disclose Presidential records,,Archivist,"Upon the passage of 30 days after receipt by the incumbent and former Presidents of a notice of intent to disclose Presidential records, the Archivist may disclose the records covered by the notice",0
13489,E9-1712,at least 30 days prior to disclosure of the Presidential records,,Archivist,The Archivist shall notify the incumbent and former Presidents of his determination at least 30 days prior to disclosure of the Presidential records,0
13490,E9-1719,annual public report on the administration of the pledge and this order,,Office of Government Ethics,provide an annual public report on the administration of the pledge and this order,0
13491,E9-1885,The Special Task Force shall provide a report to the President within 180 days of the date of this order.,180 days after 2009-01-22,Special Task Force,The Special Task Force shall provide a report to the President ... within 180 days of the date of this order,0
13492,E9-1893,closure of Guantánamo detention facilities no later than 1 year from the order date,,,"shall be closed as soon as practicable, and no later than 1 year from the date of this order.",0
13492,E9-1893,review of detention conditions to be completed within 30 days,,,Such review shall be completed within 30 days,0
13493,E9-1895,Report to the President on the task force’s findings,,Special Interagency Task Force on Detainee Disposition,within 180 days of the date of this order,0
13494,E9-2483,FAR Council must adopt rules and regulations within 150 days of the order’s effective date,,Federal Acquisition Regulatory Council (FAR Council),"Within 150 days of the effective date of this order, the Federal Acquisition Regulatory Council (FAR Council) shall adopt such rules and regulations and issue such orders as are deemed necessary and appropriate to carry out this order.",0
13495,E9-2484,Secretary of Labor (in consultation with the Federal Acquisition Regulatory Council) must issue regulations to implement the order,180 days after the date of this order,Secretary of Labor,"the Secretary shall, in consultation with the Federal Acquisition Regulatory Council, issue regulations, within 180 days of the date of this order",0
13496,E9-2485,"Secretary shall initiate rulemaking to prescribe the notice size, form, and content",Within 120 days of the effective date of this order,Secretary of Labor,"Within 120 days of the effective date of this order, the Secretary shall initiate a rulemaking to prescribe the size, form, and content of the notice to be posted by a contractor under paragraph 1 of the contract clause described in section 2 of this order.",0
13498,E9-2893,Termination of the Council unless extended by the President,2 years from the date of this order,President,The Council shall terminate 2 years from the date of this order unless extended by the President.,0
13502,E9-3113,within 120 days of the order date,2009-06-06,Federal Acquisition Regulatory Council (FAR Council),"Within 120 days of the date of this order, the Federal Acquisition Regulatory Council (FAR Council)",1
13502,E9-3113,within 180 days of the order date,2009-08-05,Director of OMB,"shall provide the President within 180 days of this order, recommendations about whether broader use of project labor agreements",1
13505,E9-5441,review existing NIH guidance and other recognized guidelines on human stem cell research and issue new NIH guidance,Within 120 days from the date of this order,"Secretary of Health and Human Services, through the Director of NIH","Within 120 days from the date of this order, the Secretary, through the Director of NIH, shall review existing NIH guidance and other",1
13506,E9-5802,Develop and submit a Federal interagency plan to the President,within 150 days of the date of this order,White House Council on Women and Girls,"within 150 days of the date of this order, develop and submit to the President a Federal interagency plan",0
13508,E9-11547,120 days from the order date,,Lead agencies,"Within 120 days from the date of this order, the agencies identified in this section as the lead agencies shall prepare and submit draft reports to the Committee",0
13508,E9-11547,180 days from the order date,,Lead agencies,The lead agencies shall provide final reports to the Committee within 180 days of the date of this order.,0
13508,E9-11547,180 days from the order date,,Committee,the draft strategy shall be published for public review and comment within 180 days of the date of this order,0
13508,E9-11547,1 year from the order date,,Committee,a final strategy shall be published within 1 year.,0
13508,E9-11547,1 year from the order date,,EPA Administrator,"The Administrator of the EPA shall, within 1 year of the date of this order ... publish guidance for Federal land management in the Chesapeake Bay watershed",0
13511,E9-23886,Continuation deadline for the listed advisory committees,"September 30, 2011",,"Each advisory committee listed below is continued until September 30, 2011.",0
13511,E9-23886,Effective date of the order,"September 30, 2009",,"Sec. 4. This order shall be effective September 30, 2009.",0
13513,E9-24203,"90 days from the order date (October 1, 2009) – i.e., by December 30, 2009",2009-12-30,All executive‑branch agencies,"Within 90 days of the date of this order, each agency is directed, consistent with all applicable laws and regulations: (i) to take appropriate measures to implement this order, (ii) to adopt measures to ensure compliance with section 2 of this order, including through appropriate disciplinary actions, and (iii) to notify the Secretary of Transportation of the measures it undertakes hereunder.",0
13514,E9-24518,Agency heads must set and report a scope 1‑2 GHG‑reduction target,within 90 days of the date of this order,Agency heads,"within 90 days of the date of this order, establish and report to the",1
13514,E9-24518,Agency heads must set and report a scope 3 GHG‑reduction target,within 240 days of the date of this order,Agency heads,within 240 days of the date of this order and concurrent with submission of the Strategic Sustainability Performance Plan ... establish and report ... a percentage reduction target for reducing agency‑wide scope 3 greenhouse gas emissions,0
13514,E9-24518,"Submit a comprehensive inventory of absolute GHG emissions (scope 1, 2, 3)",within 15 months of the date of this order (first inventory) and annually thereafter,Agency heads,"within 15 months of the date of this order for fiscal year 2010, and",1
13514,E9-24518,Designate a Senior Sustainability Officer,within 30 days of the date of this order,Agency heads,"within 30 days of the date of this order, the head of each agency shall designate ... a Senior Sustainability Officer",0
13514,E9-24518,Submit the Strategic Sustainability Performance Plan,within 240 days of the date of this order (first plan) and annually thereafter,Agency Senior Sustainability Officers,"within 240 days of the date of this order, and annually thereafter, preparing and submitting to the CEQ Chair and",1
13514,E9-24518,CEQ Chair to give President aggregate scope 1‑2 target,within 120 days of the date of this order,CEQ Chair,"within 120 days of the date of this order, provide the President with an aggregate Federal Government‑wide target for reducing scope 1 and 2 greenhouse gas emissions",0
13514,E9-24518,CEQ Chair to give President aggregate scope 3 target,within 270 days of the date of this order,CEQ Chair,"within 270 days of the date of this order, provide the President with an aggregate Federal Government‑wide target for reducing scope 3 greenhouse gas emissions",0
13514,E9-24518,DOE to develop GHG reporting and accounting procedures,within 180 days of the date of this order,Department of Energy (FEMP),within 180 days of the date of this order develop and provide to the CEQ Chair recommended Federal greenhouse gas reporting and accounting procedures,0
13514,E9-24518,DOE to provide electronic GHG accounting capability,within 1 year of the date of this order,Department of Energy (FEMP),"within 1 year of the date of this order, to ensure consistent and accurate reporting ... provide electronic accounting and reporting capability for the Federal greenhouse gas reporting procedures",0
13514,E9-24518,DOE to update GHG reporting guidance every 3 years,every 3 years from initial guidance issuance,Department of Energy (FEMP),every 3 years from the date of the CEQ Chair's issuance of the initial version of the reporting guidance ... develop and provide recommendations to the CEQ Chair for revised Federal greenhouse gas reporting procedures,0
13514,E9-24518,DOT to recommend sustainable location strategies for Federal facilities,within 180 days of the date of this order,Department of Transportation,"within 180 days of the date of this order, the Department of Transportation",1
13514,E9-24518,GSA to recommend improvements to Federal transportation logistics,within 180 days of the date of this order,General Services Administration,"within 180 days of the date of this order, the General Services Administration",1
13514,E9-24518,DOE to issue fleet‑management guidance,within 180 days of the date of this order,Department of Energy,"within 180 days of the date of this order, the Department of Energy ... shall issue guidance on Federal fleet management",0
13514,E9-24518,GSA to recommend vendor/contractor emissions tracking,within 180 days of the date of this order,General Services Administration,"within 180 days of the date of this order, the General Services Administration",1
13514,E9-24518,EPA to issue stormwater‑guidance,within 60 days of the date of this order,Environmental Protection Agency,"within 60 days of the date of this order, the Environmental Protection Agency ... shall issue guidance on the implementation of section 438 of the Energy Independence and Security Act of 2007",0
13514,E9-24518,Federal Environmental Executive to develop regional implementation plan,within 180 days of the date of this order,Federal Environmental Executive,"within 180 days of the date of this order, the Federal Environmental Executive shall develop and implement a regional implementation plan",0
13514,E9-24518,CEQ Chair to report on climate‑change adaptation progress,within 1 year of the date of this order,CEQ Chair,within 1 year of the date of this order the CEQ Chair shall provide to the President ... a progress report on agency actions in support of the national adaptation strategy,0
13517,E9-26834,Task Force report due within one year of the order’s date,,Task Force,The Task Force shall submit to the President a report on the actions it has taken to perform the functions set forth in section 3 no later than 1 year from the date of this order.,0
13519,E9-28022,first meeting of the Task Force,within 30 days of November 17 2009,Attorney General,The Attorney General shall convene the first meeting of the Task Force within 30 days of the date of this order,0
13520,E9-28493,Within 90 days of the date of this order,,Director of OMB,"Within 90 days of the date of this order, the Director of the Office of Management and Budget (OMB) shall:",0
13520,E9-28493,Within 180 days of the date of this order,,Secretary of the Treasury (in coordination with Attorney General and OMB),"Within 180 days of the date of this order, the Secretary of the Treasury in coordination with the Attorney General and the Director of OMB, shall publish on the Internet information about improper payments",0
13520,E9-28493,Within 180 days of the date of this order,,Secretary of the Treasury,"Within 180 days of the date of this order, the Secretary of the Treasury ... shall establish a central Internet‑based method to collect from the public information concerning suspected incidents of waste, fraud, and abuse",0
13520,E9-28493,Within 180 days of the date of this order,,Chief Financial Officers Council (CFOC),"Within 180 days of the date of this order, the Chief Financial Officers Council (CFOC) ... shall make recommendations to the Director of OMB and the Secretary of the Treasury",0
13520,E9-28493,Within 180 days of the date of this order,,Federal Acquisition Regulatory Council,"Within 180 days of the date of this order, the Federal Acquisition Regulatory Council ... shall recommend to the President actions designed to enhance contractor accountability",0
13520,E9-28493,Within 120 days of the date of this order,,Head of each agency,"Within 120 days of the date of this order, the head of each agency responsible for operating a high‑priority program shall designate an official",0
13520,E9-28493,Within 180 days of the date of this order,,Designated agency officials,"Within 180 days of the date of this order, each agency official ... shall provide the agency's Inspector General a report containing",0
13520,E9-28493,"Within 180 days of the date of this order, and at least once every quarter thereafter",,Head of each agency,"at least once every quarter thereafter, the head of each agency shall submit ... a report on any high‑dollar improper payments identified by the agency",0
13520,E9-28493,Within 30 days of the date of this order,,Director of OMB,"Within 30 days of the date of this order, the Director of OMB shall establish a working group consisting of Federal and elected State and local officials to make recommendations to the Director of OMB designed to improve the effectiveness of single audits",0
13520,E9-28493,Within 30 days of the date of this order,,Director of OMB,"Within 30 days of the date of this order, the Director of OMB shall establish a working group (which may be separate from the group established under subsection (b) of this section) consisting of Federal and elected State and local officials to make recommendations to the Director of OMB for administrative actions designed to improve the incentives and accountability",0
13520,E9-28493,(No specific deadline),,Director of OMB,"The Director of OMB, in consultation with the appropriate agencies and the CIGIE, shall develop policy recommendations, including potential legislative proposals",0
13522,E9-29781,Heads of departments/agencies must submit a written implementation plan to the Council.,,,within 90 days of the date of this order,0
13522,E9-29781,The Council shall review each implementation plan.,,,within 30 days of receipt,0
